Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-13 13:30:42,120,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:43,123,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:44,125,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:45,49,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:46,128,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:47,65,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:48,133,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:49,138,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:30:50,129,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:30:50,131,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:30:55,145,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:55,141,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:55,38,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:57,74,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:57,78,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:57,148,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:58,152,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:59,151,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:59,130,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:59,147,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:31:00,150,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:31:00,155,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:01,156,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:01,107,Ô tô,27,Không rõ,Bình Thường
2026-06-13 13:31:02,157,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:02,154,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:31:02,84,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:03,160,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:03,161,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:31:04,162,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:05,163,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:31:06,47,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:31:07,64,Ô tô,32,Không rõ,Bình Thường
2026-06-13 13:31:07,75,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:07,90,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:07,101,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:07,113,Ô tô,21,Không rõ,Bình Thường
2026-06-13 13:31:07,116,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:08,117,Ô tô,28,Không rõ,Bình Thường
2026-06-13 13:31:08,119,Ô tô,23,Không rõ,Bình Thường
2026-06-13 13:31:08,121,Ô tô,14,Không rõ,Bình Thường
2026-06-13 13:31:08,126,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:08,127,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:08,132,Xe buýt,2,Không rõ,Bình Thường
2026-06-13 13:31:09,134,Ô tô,28,Không rõ,Bình Thường
2026-06-13 13:31:09,135,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:09,153,Ô tô,22,Không rõ,Bình Thường
2026-06-13 13:31:09,158,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:09,159,Ô tô,19,Không rõ,Bình Thường
2026-06-13 13:31:09,164,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:31:10,165,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:10,5,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:12,15,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:14,16,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:16,19,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:17,11,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:17,24,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:19,20,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:19,26,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:20,27,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:21,9,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:52:21,30,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:21,31,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:52:21,7,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:23,32,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:23,34,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:24,10,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:33,6,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:36,3,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:37,28,Ô tô,56,Không rõ,Quá Tốc Độ
2026-06-13 13:52:43,8,Xe máy,0,Không rõ,Bình Thường
